time;V(/VOUT)1;
6.5428e-07;-0.129635;
6.5528e-07;-0.129635;
6.5628e-07;-0.129635;
6.5728e-07;-0.129635;
6.5828e-07;-0.129635;
6.5928e-07;-0.129635;
6.6028e-07;-0.129635;
6.6128e-07;-0.129635;
6.6228e-07;-0.129635;
6.6328e-07;-0.129635;
6.6428e-07;-0.129635;
6.6528e-07;-0.129635;
6.6628e-07;-0.129635;
6.6728e-07;-0.129635;
6.6828e-07;-0.129635;
6.6928e-07;-0.129635;
6.7028e-07;-0.129635;
6.7128e-07;-0.129635;
6.7228e-07;-0.129635;
6.7328e-07;-0.129635;
6.7428e-07;-0.129635;
6.7528e-07;-0.129635;
6.7628e-07;-0.129635;
6.7728e-07;-0.129635;
6.7828e-07;-0.129635;
6.7928e-07;-0.129635;
6.8028e-07;-0.129635;
6.8128e-07;-0.129635;
6.8228e-07;-0.129635;
6.8328e-07;-0.129635;
6.8428e-07;-0.129635;
6.8528e-07;-0.129635;
6.8628e-07;-0.129635;
6.8728e-07;-0.129635;
6.8828e-07;-0.129635;
6.8928e-07;-0.129635;
6.9028e-07;-0.129635;
6.9128e-07;-0.129635;
6.9228e-07;-0.129635;
6.9328e-07;-0.129635;
6.9428e-07;-0.129635;
6.9528e-07;-0.129635;
6.9628e-07;-0.129635;
6.9728e-07;-0.129635;
6.9828e-07;-0.129635;
6.9928e-07;-0.129635;
7.0028e-07;-0.129635;
7.0128e-07;-0.129635;
7.0228e-07;-0.129635;
7.0328e-07;-0.129635;
7.0428e-07;-0.129635;
7.0528e-07;-0.129635;
7.0628e-07;-0.129635;
7.0728e-07;-0.129635;
7.0828e-07;-0.129635;
7.0928e-07;-0.129635;
7.1028e-07;-0.129635;
7.1128e-07;-0.129635;
7.1228e-07;-0.129635;
7.1328e-07;-0.129635;
7.1428e-07;-0.129635;
7.1528e-07;-0.129635;
7.1628e-07;-0.129635;
7.1728e-07;-0.129635;
7.1828e-07;-0.129635;
7.1928e-07;-0.129635;
7.2028e-07;-0.129635;
7.2128e-07;-0.129635;
7.2228e-07;-0.129635;
7.2328e-07;-0.129635;
7.2428e-07;-0.129635;
7.2528e-07;-0.129635;
7.2628e-07;-0.129635;
7.2728e-07;-0.129635;
7.2828e-07;-0.129635;
7.2928e-07;-0.129635;
7.3028e-07;-0.129635;
7.3128e-07;-0.129635;
7.3228e-07;-0.129635;
7.3328e-07;-0.129635;
7.3428e-07;-0.129635;
7.3528e-07;-0.129635;
7.3628e-07;-0.129635;
7.3728e-07;-0.129635;
7.3828e-07;-0.129635;
7.3928e-07;-0.129635;
7.4028e-07;-0.129635;
7.4128e-07;-0.129635;
7.4228e-07;-0.129635;
7.4328e-07;-0.129635;
7.4428e-07;-0.129635;
7.4528e-07;-0.129635;
7.4628e-07;-0.129635;
7.4728e-07;-0.129635;
7.4828e-07;-0.129635;
7.4928e-07;-0.129635;
7.5028e-07;-0.129635;
7.5128e-07;-0.129635;
7.5228e-07;-0.129635;
7.5328e-07;-0.129635;
7.5428e-07;-0.129635;
7.5528e-07;-0.129635;
7.5628e-07;-0.129635;
7.5728e-07;-0.129635;
7.5828e-07;-0.129635;
7.5928e-07;-0.129635;
7.6028e-07;-0.129635;
7.6128e-07;-0.129635;
7.6228e-07;-0.129635;
7.6328e-07;-0.129635;
7.6428e-07;-0.129635;
7.6528e-07;-0.129635;
7.6628e-07;-0.129635;
7.6728e-07;-0.129635;
7.6828e-07;-0.129635;
7.6928e-07;-0.129635;
7.7028e-07;-0.129635;
7.7128e-07;-0.129635;
7.7228e-07;-0.129635;
7.7328e-07;-0.129635;
7.7428e-07;-0.129635;
7.7528e-07;-0.129635;
7.7628e-07;-0.129635;
7.7728e-07;-0.129635;
7.7828e-07;-0.129635;
7.7928e-07;-0.129635;
7.8028e-07;-0.129635;
7.8128e-07;-0.129635;
7.8228e-07;-0.129635;
7.8328e-07;-0.129635;
7.8428e-07;-0.129635;
7.8528e-07;-0.129635;
7.8628e-07;-0.129635;
7.8728e-07;-0.129635;
7.8828e-07;-0.129635;
7.8928e-07;-0.129635;
7.9028e-07;-0.129635;
7.9128e-07;-0.129635;
7.9228e-07;-0.129635;
7.9328e-07;-0.129635;
7.9428e-07;-0.129635;
7.9528e-07;-0.129635;
7.9628e-07;-0.129635;
7.9728e-07;-0.129635;
7.9828e-07;-0.129635;
7.9928e-07;-0.129635;
8.0028e-07;-0.129635;
8.0128e-07;-0.129635;
8.0228e-07;-0.129635;
8.0328e-07;-0.129635;
8.0428e-07;-0.129635;
8.0528e-07;-0.129635;
8.0628e-07;-0.129635;
8.0728e-07;-0.129635;
8.0828e-07;-0.129635;
8.0928e-07;-0.129635;
8.1028e-07;-0.129635;
8.1128e-07;-0.129635;
8.1228e-07;-0.129635;
8.1328e-07;-0.129635;
8.1428e-07;-0.129635;
8.1528e-07;-0.129635;
8.1628e-07;-0.129635;
8.1728e-07;-0.129635;
8.1828e-07;-0.129635;
8.1928e-07;-0.129635;
8.2028e-07;-0.129635;
8.2128e-07;-0.129635;
8.2228e-07;-0.129635;
8.2328e-07;-0.129635;
8.2428e-07;-0.129635;
8.2528e-07;-0.129635;
8.2628e-07;-0.129635;
8.2728e-07;-0.129635;
8.2828e-07;-0.129635;
8.2928e-07;-0.129635;
8.3028e-07;-0.129635;
8.3128e-07;-0.129635;
8.3228e-07;-0.129635;
8.3328e-07;-0.129635;
8.3428e-07;-0.129635;
8.3528e-07;-0.129635;
8.3628e-07;-0.129635;
8.3728e-07;-0.129635;
8.3828e-07;-0.129635;
8.3928e-07;-0.129635;
8.4028e-07;-0.129635;
8.4128e-07;-0.129635;
8.4228e-07;-0.129635;
8.4328e-07;-0.129635;
8.4428e-07;-0.129635;
8.4528e-07;-0.129635;
8.4628e-07;-0.129635;
8.4728e-07;-0.129635;
8.4828e-07;-0.129635;
8.4928e-07;-0.129635;
8.5028e-07;-0.129635;
8.5128e-07;-0.129635;
8.5228e-07;-0.129635;
8.5328e-07;-0.129635;
8.5428e-07;-0.129635;
8.5528e-07;-0.129635;
8.5628e-07;-0.129635;
8.5728e-07;-0.129635;
8.5828e-07;-0.129635;
8.5928e-07;-0.129635;
8.6028e-07;-0.129635;
8.6128e-07;-0.129635;
8.6228e-07;-0.129635;
8.6328e-07;-0.129635;
8.6428e-07;-0.129635;
8.6528e-07;-0.129635;
8.6628e-07;-0.129635;
8.6728e-07;-0.129635;
8.6828e-07;-0.129635;
8.6928e-07;-0.129635;
8.7028e-07;-0.129635;
8.7128e-07;-0.129635;
8.7228e-07;-0.129635;
8.7328e-07;-0.129635;
8.7428e-07;-0.129635;
8.7528e-07;-0.129635;
8.7628e-07;-0.129635;
8.7728e-07;-0.129635;
8.7828e-07;-0.129635;
8.7928e-07;-0.129635;
8.8028e-07;-0.129635;
8.8128e-07;-0.129635;
8.8228e-07;-0.129635;
8.8328e-07;-0.129635;
8.8428e-07;-0.129635;
8.8528e-07;-0.129635;
8.8628e-07;-0.129635;
8.8728e-07;-0.129635;
8.8828e-07;-0.129635;
8.8928e-07;-0.129635;
8.9028e-07;-0.129635;
8.9128e-07;-0.129635;
8.9228e-07;-0.129635;
8.9328e-07;-0.129635;
8.9428e-07;-0.129635;
8.9528e-07;-0.129635;
8.9628e-07;-0.129635;
8.9728e-07;-0.129635;
8.9828e-07;-0.129635;
8.9928e-07;-0.129635;
9.0028e-07;-0.129635;
9.0128e-07;-0.129635;
9.0228e-07;-0.129635;
9.0328e-07;-0.129635;
9.0428e-07;-0.129635;
9.0528e-07;-0.129635;
9.0628e-07;-0.129635;
9.0728e-07;-0.129635;
9.0828e-07;-0.129635;
9.0928e-07;-0.129635;
9.1028e-07;-0.129635;
9.1128e-07;-0.129635;
9.1228e-07;-0.129635;
9.1328e-07;-0.129635;
9.1428e-07;-0.129635;
9.1528e-07;-0.129635;
9.1628e-07;-0.129635;
9.1728e-07;-0.129635;
9.1828e-07;-0.129635;
9.1928e-07;-0.129635;
9.2028e-07;-0.129635;
9.2128e-07;-0.129635;
9.2228e-07;-0.129635;
9.2328e-07;-0.129635;
9.2428e-07;-0.129635;
9.2528e-07;-0.129635;
9.2628e-07;-0.129635;
9.2728e-07;-0.129635;
9.2828e-07;-0.129635;
